DOD,WT total nuclei,WT round,WT flat
20210710,21,19,2
20210710,23,19,4
20210710,28,22,6
20210710,28,21,7
20210710,26,20,6
20210710,23,19,4
20210710,24,20,4
20210710,13,10,3
20210710,23,19,4
20210710,25,20,5
20210710,23,17,6
20210710,14,13,1
20210710,20,18,2
20210710,30,24,6
20210710,29,23,6
20210710,23,19,4
20210710,21,15,6
20210710,21,16,5
20210710,19,13,4
20210710,21,20,1
20210710,22,18,4
20210710,23,20,3
20210710,17,13,4
20210710,18,14,4
20210710,19,17,2
20210710,21,17,4
20210710,14,11,3
20210710,22,19,3
20210710,29,24,5
20210710,28,25,3
20210710,22,18,4
20210710,17,15,2
20210710,30,19,11
20210710,21,20,1
20210710,13,10,3
20210710,18,16,2
20210710,19,15,4
20210710,13,11,2
20210710,11,6,5
20210710,16,15,1
20210710,20,16,4
20210710,15,11,4
20210710,22,20,2
20210710,15,13,2
20210710,17,13,4
20210710,15,11,4
20210710,22,20,2
20210710,18,15,3
20210710,15,10,5
20210710,20,17,3
20210710,23,21,2
20210710,16,13,3
20210710,22,20,2
20210710,28,22,6
20210710,24,22,2
20210710,22,18,4
20210710,17,16,1
20210710,22,21,1
20210710,35,33,2
20210710,27,22,5
Average in 100 µm²,20.94915254,17.3220339,3.593220339
